Variable,Rec,Start,End,Format,Label,Values,Missing Codes
birth_hisp,1,105,105,F1.0,"BIRTH_HISP. Were you born in the United States, on the island of Puerto Rico, or in another country?",,"8 = Don't know, 9 = Refused"
inc,1,106,107,F2.0,"INC. Last year – that is, in 2013 – approximately what was your total family income before taxes? Just tell me when I get to the right category. [READ]",,"98 = Don't know, 99 = Refused"
inc1,1,108,108,F1.0,"INC1. ...Keeping in mind that this is a completely confidential survey, can you please tell me if your total household income BEFORE taxes last year was over or under $75,000?",,"8 = Don't know, 9 = Refused"
inc2,1,109,109,F1.0,"INC2. Was it over or under $50,000? [INTERVIEWER: EXACTLY $50,000 SHOULD BE RECORDED AS PUNCH 1 – ‘OVER $50,000']",,"8 = Don't know, 9 = Refused"
inc3,1,110,110,F1.0,"INC3. Was it over or under $30,000? [INTERVIEWER: EXACTLY $30,000 SHOULD BE RECORDED AS PUNCH 1 – ‘OVER $30,000']",,"8 = Don't know, 9 = Refused"
reg,1,111,111,F1.0,REG. Which of these statements best describes you? [READ IN ORDER].,,"8 = Don't know, 9 = Refused"
party,1,112,112,F1.0,"PARTY. In politics TODAY, do you consider yourself a Republican, Democrat, or Independent?",,"8 = Don't know, 9 = Refused"
partyln,1,113,113,F1.0,"PARTYLN. As of today, do you lean more to the Republican Party or more to the Democratic Party?",,"8 = Don't know, 9 = Refused"
contact1,1,114,114,F1.0,CONTACT1. Reporters from news organizations may want to call back people who participated in our survey to talk about some of the issues we discussed. Would you be willing to talk to a reporter at a later date?,,9 = refused
contact2,1,115,115,F1.0,"CONTACT2. So that a reporter can reach you more easily, may I have your first name?",,9 = declined to be recontacted at this point
rzipcode,1,116,120,A5,RZIPCODE. What is your zip code?,,99999 = Don't Know/Refused
zipcode,1,121,125,A5,ZIPCODE. Combined RZIPCODE and SZIPCODE for refused,,99999 = Don't Know/Refused
nameos,1,126,175,A50,,,
raceos,1,176,325,A150,,,
state,1,326,327,F2.0,State from FIPS code - 2012 zip merge,"1 = Alabama, 2 = Alaska, 4 = Arizona, 5 = Arkansas, 6 = California, 8 = Colorado, 9 = Connecticut, 10 = Delaware, 11 = District of Columbia, 12 = Florida, 13 = Georgia, 15 = Hawaii, 16 = Idaho, 17 = Illinois, 18 = Indiana, 19 = Iowa, 20 = Kansas, 21 = Kentucky, 22 = Louisiana, 23 = Maine, 24 = Marlyand, 26 = Massachusetts, 26 = Michigan, 27 = Minnesota, 28 = Mississipi,  29 = Missouri, 30 = Montana, 31 = Nebraska, 32 = Nevada, 33 = New Hampshire, 34 = New Jersey, 35 = New Mexico, 36 = New York, 37 = North Carolina, 38 = North Dakota, 39 = Ohio, 40 = Oklahoma, 41 = Oregon, 42 = Pennsylvania, 44 = Rhode Island, 45 = South Carolina, 46 = South Dakota, 47 = Tennessee, 48 = Texas, 49 = Utah, 50 = Vermont, 51 = Virginia, 53 = Washington, 54 = West Virginia, 55 = Wisconsin, 56 = Wyoming",
fips,1,328,332,F5.0,FIPS state and county code - 2012 zip merge,,
density,1,333,333,F1.0,Recoded Population Density 2010 Census - 2012 zip merge,"1 = Lowest, 5 = Highest",
cregion,1,334,334,F1.0,Census Region - 2012 zip merge,"1 = Northeast, 2 = Midwest, 3 = South, 4 = West",
usr,1,335,335,A1,Community type - merge from Zip 2012,"R = Rural, S = Suburban, U = Urban",
income,1,336,336,F1.0,Income Summary,"1 = Under $30k, 2 = $30k - LT $50k, 3 = $50k - LT $75k, $75K+",9 = Undesignated
iphoneuse,1,337,337,F1.0,Individual phone use,"1 = ""LLO"", 2= ""Dual, 3 = ""CPO""",
hphoneuse,1,338,338,F1.0,Household phone use,"1 = ""LLO"", 2= ""Dual, 3 = ""CPO""",
racethn,1,339,339,F1.0,Race/Ethnicity,"1 = White not Hispanic, 2 = Black not Hispanic, 3 = Hispanic, 4 = Other not Hispanic",9 = Don't know/refused
racethn2,1,340,340,F1.0,Race/Ethnicity,"1 = White not Hispanic, 2 = Black not Hispanic, 3 = Hispanic born in US, 4 = Hisp not born in US, 5 = Other not Hispanic",9 = Don't know/refused
recage,1,341,341,F1.0,Recoded age,"1 = 18-24, 2 = 25-34, 3 = 35-44, 4 = 45-54, 5 = 55-64, 6 = 65+",9 = Don't know/refused
receduc,1,342,342,F1.0,Recoded education,"1 = HS grad or less, 2 = some coll/comm coll, 3 = coll+",9 = Don't know/refused
wt1,1,343,347,F5.2,,,
weight,1,348,352,F5.2,Final weight,,
