TSID,peer,parent,self,teacher
1051143062,13,21,18,25
1051143071,22,18,23,28
1051143081,16,23,27,22
1051143092,26,19,16,25
1051143101,8,19,25,26
1051146012,14,23,24,21
1051146022,25,27,27,26
1051146031,17,28,27,20
1051146041,14,25,25,26
1051146052,18,27,26,24
1051146062,26,24,22,27
1051146071,16,16,19,16
1051146081,23,16,16,27
1051146092,26,27,30,30
1051146101,16,25,27,27
1051153012,20,28,24,23
1051153022,24,26,27,16
1051153031,27,20,25,16
1051153041,15,19,23,13
1051153052,25,30,28,19
1051153062,19,25,22,27
1051153071,25,18,14,13
1051153081,18,28,28,13
1051153092,25,25,23,19
1051153101,14,20,21,11
1051156012,8,15,12,19
1051156022,24,27,27,22
1051156031,29,16,28,18
1051156041,22,26,24,20
1051156052,18,25,25,28
1051156062,26,21,27,11
1051156071,30,29,29,29
1051156081,29,29,29,22
1051156092,26,25,27,15
1051156101,9,22,20,18
1052183012,26,23,25,15
1052183022,22,28,23,18
1052183031,22,26,25,26
1052183041,29,18,28,16
1052183052,27,16,26,17
1052183062,28,27,29,20
1052183071,21,27,22,13
1052183081,27,20,25,14
1052183092,24,25,29,24
1052183101,22,18,25,17
1052186012,21,26,25,27
1052186022,23,27,27,22
1052186031,20,21,29,20
1052186041,22,27,30,24
1052186052,25,26,28,27
1052186062,17,26,23,22
1052186071,16,20,17,29
1052186081,25,26,26,28
1052186092,27,27,28,28
1052186101,22,26,27,25
1052193012,28,28,28,27
1052193022,11,25,24,23
1052193031,19,27,28,26
1052193041,20,31,26,28
1052193052,22,24,29,27
1052193062,12,29,26,24
1052193071,18,28,20,26
1052193081,29,27,16,18
1052193092,28,26,27,29
1052193101,24,28,26,24
1052196012,20,22,21,27
1052196022,25,19,27,18
1052196031,31,29,20,18
1052196041,23,28,28,18
1052196052,28,24,30,23
1052196062,31,25,28,18
1052196071,28,28,24,25
1052196081,16,19,31,10
1052196092,23,26,28,16
1052196101,24,25,21,19
1052223012,18,24,26,18
1052223022,24,21,29,22
1052223031,26,12,24,11
1052223041,24,18,24,17
1052223052,15,23,22,25
1052223062,27,18,22,19
1052223071,22,22,23,20
1052223081,22,10,24,10
1052223092,27,24,24,21
1052223101,23,20,29,19
1052226012,18,25,27,24
1052226022,25,29,16,28
1052226031,18,20,23,23
1052226041,31,29,20,24
1052226052,25,29,30,30
1052226062,31,28,24,23
1052226071,19,26,27,25
1052226081,29,25,15,29
1052226092,30,30,26,29
1052226101,28,29,30,29
1052233012,24,26,27,26
